souche_1;souche_2;souche_3;souche_4;souche_5;stade;station ;ad nichoir;sex;obs;sta.nic;urb_level;urb_level_city;average_urb_level;habitat
PYCGPI03;PARUS82;PARUS77;PARUS73;PARUS4;adulte;font;19;2;AC;font.19;-1,99278499;-1,450152487;-0,854;urb
SYBOR22;PYCGPI03;PARUS77;PARUS4;PARUS18;adulte;font;25;2;AC;font.25;-2,291598567;-1,675383459;-0,854;urb
PARUS77;PARUS4;;;;adulte;font;19;1;ACA;font.19;-1,99278499;-1,450152487;-0,854;urb
SYBOR22;PYCGPI03;PARUS77;PARUS74;PARUS72;adulte;font;4;1;ACA;font.4;0,061487905;0,483441369;-0,854;urb
PYCGPI03;PARUS82;PARUS77;PARUS73;PARUS4;adulte;font;31;2;SP;font.31;-2,824622623;-2,335117607;-0,854;urb
SYBOR22;PARUS74;PARUS72;AFR215;;adulte;font;4;2;SP;font.4;0,061487905;0,483441369;-0,854;urb
PARUS73;;;;;adulte;font;31;1;ACA;font.31;-2,824622623;-2,335117607;-0,854;urb
PARUS77;PARUS73;PARUS4;PARUS18;;adulte;font;3;1;SP;font.3;-0,038638743;0,598274918;-0,854;urb
PARUS72;;;;;adulte;font;12;1;ACA;font.12;-0,706485126;-0,241818683;-0,854;urb
negatif;;;;;adulte;font;8;1;ACA;font.8;0,389978734;0,698654941;-0,854;urb
SYBOR22;PYCGPI03;PARUS77;PARUS74;PARUS72;adulte;font;12;2;SP;font.12;-0,706485126;-0,241818683;-0,854;urb
SYBOR22;PARUS74;PARUS72;PARUS4;PARUS18;adulte;font;8;2;SP;font.8;0,389978734;0,698654941;-0,854;urb
PYCTRI03;PYCGPI03;PARUS77;PARUS4;PARUS18;adulte;font;3;2;SP;font.3;-0,038638743;0,598274918;-0,854;urb
PARUS82;PARUS73;;;;adulte;font;1;1;ACA;font.1;-0,976204185;-0,150404904;-0,854;urb
PYCGPI03;PARUS82;PARUS77;PARUS73;PARUS4;adulte;font;17;1;ACA;font.17;-0,789341043;-0,46640164;-0,854;urb
SYBOR22;PYCGPI03;PARUS77;PARUS74;PARUS72;adulte;font;13;2;SP;font.13;-1,249326421;-0,875764243;-0,854;urb
SYBOR22;PYCGPI03;PARUS77;PARUS74;PARUS72;adulte;font;17;2;ACA;font.17;-0,789341043;-0,46640164;-0,854;urb
PARUS4;PARUS18;;;;adulte;font;2;1;SP;font.2;-0,485310472;0,008733556;-0,854;urb
PARUS82;PARUS77;PARUS73;PARUS4;PARUS18;adulte;font;8;1;CF;font.8;0,389978734;0,698654941;-0,854;urb
PARUS77;PARUS4;PARUS18;PARUS26;PARUS17;adulte;font;8;2;CF;font.8;0,389978734;0,698654941;-0,854;urb
PARUS70;CYACAE02;;;;adulte;gram;36;1;AC;gram.36;-0,059283988;0,271362813;0,254;urb
SYBOR22;PARUS74;PARUS72;AFR215;SYCON05;adulte;gram;36;2;AC;gram.36;-0,059283988;0,271362813;0,254;urb
PARUS74;;;;;adulte;gram;14;1;ACA;gram.14;1,168469336;1,425924348;0,254;urb
inexploitable;;;;;adulte;gram;14;2;ACA;gram.14;1,168469336;1,425924348;0,254;urb
negatif;negatif;negatif;negatif;negatif;adulte;gram;54;1;ACA;gram.54;0,425882103;0,686419809;0,254;urb
PARUS74;PARUS72;;;;adulte;gram;54;2;ACA;gram.54;0,425882103;0,686419809;0,254;urb
SYBOR22;PARUS77;PARUS72;AFR215;SYCON05;adulte;gram;56;1;ACA;gram.56;0,141519692;0,403237867;0,254;urb
SYBOR22;PARUS74;PARUS72;PARUS4;PARUS18;adulte;gram;56;2;ACA;gram.56;0,141519692;0,403237867;0,254;urb
PARUS16;;;;;adulte;gram;2;2;ACA;gram.2;0,15566769;0,448601481;0,254;urb
