Row,LocationID,NestboxID,LocationType,PopID,Latitude,Longitude,StartSeason,EndSeason,HabitatType,Warning,Error,PopNestboxID
5139,rou_109_NB,rou_109_NB,NB,rou,43.670431,3.662111,1994,NA,deciduous,NA,NA,ROU rou_109_NB
5141,rou_11_NB,rou_11_NB,NB,rou,43.662624,3.66707,1992,NA,deciduous,NA,NA,ROU rou_11_NB
5142,rou_110_NB,rou_110_NB,NB,rou,43.670348,3.661712,1993,NA,deciduous,NA,NA,ROU rou_110_NB
5143,rou_111_NB,rou_111_NB,NB,rou,43.670183,3.661248,1994,NA,deciduous,NA,NA,ROU rou_111_NB
5144,rou_114_NB,rou_114_NB,NB,rou,43.669321,3.661361,1993,NA,deciduous,NA,NA,ROU rou_114_NB
5145,rou_115_NB,rou_115_NB,NB,rou,43.66907,3.661365,1993,NA,deciduous,NA,NA,ROU rou_115_NB
5146,rou_116_NB,rou_116_NB,NB,rou,43.668803,3.661333,1994,NA,deciduous,NA,NA,ROU rou_116_NB
5147,rou_12_NB,rou_12_NB,NB,rou,43.662301,3.667226,1991,NA,deciduous,NA,NA,ROU rou_12_NB
5148,rou_120_NB,rou_120_NB,NB,rou,43.667768,3.6613,1994,NA,deciduous,NA,NA,ROU rou_120_NB
5149,rou_122_NB,rou_122_NB,NB,rou,43.667217,3.66131,1994,NA,deciduous,NA,NA,ROU rou_122_NB
5150,rou_123_NB,rou_123_NB,NB,rou,43.666933,3.661331,1993,NA,deciduous,NA,NA,ROU rou_123_NB
5151,rou_124_NB,rou_124_NB,NB,rou,43.666653,3.661328,1993,NA,deciduous,NA,NA,ROU rou_124_NB
5152,rou_125_NB,rou_125_NB,NB,rou,43.666364,3.661341,1994,NA,deciduous,NA,NA,ROU rou_125_NB
5153,rou_126_NB,rou_126_NB,NB,rou,43.666044,3.661387,1994,NA,deciduous,NA,NA,ROU rou_126_NB
5154,rou_127_NB,rou_127_NB,NB,rou,43.665731,3.661401,1994,NA,deciduous,NA,NA,ROU rou_127_NB
5155,rou_128_NB,rou_128_NB,NB,rou,43.665434,3.661443,1994,NA,deciduous,NA,NA,ROU rou_128_NB
5156,rou_129_NB,rou_129_NB,NB,rou,43.665125,3.66147,1995,NA,deciduous,NA,NA,ROU rou_129_NB
5158,rou_13_NB,rou_13_NB,NB,rou,43.661726,3.667155,1997,NA,deciduous,NA,NA,ROU rou_13_NB
5159,rou_130_NB,rou_130_NB,NB,rou,43.664858,3.66153,1993,NA,deciduous,NA,NA,ROU rou_130_NB
5160,rou_131_NB,rou_131_NB,NB,rou,43.664573,3.661627,1994,NA,deciduous,NA,NA,ROU rou_131_NB
5161,rou_132_NB,rou_132_NB,NB,rou,43.664232,3.661747,1994,NA,deciduous,NA,NA,ROU rou_132_NB
5162,rou_133_NB,rou_133_NB,NB,rou,43.663942,3.661843,1994,NA,deciduous,NA,NA,ROU rou_133_NB
5163,rou_134_NB,rou_134_NB,NB,rou,43.663668,3.661894,1993,NA,deciduous,NA,NA,ROU rou_134_NB
5164,rou_135_NB,rou_135_NB,NB,rou,43.663415,3.661903,1994,NA,deciduous,NA,NA,ROU rou_135_NB
5165,rou_137_NB,rou_137_NB,NB,rou,43.662853,3.661915,1994,NA,deciduous,NA,NA,ROU rou_137_NB
5166,rou_139_NB,rou_139_NB,NB,rou,43.662338,3.661935,1993,NA,deciduous,NA,NA,ROU rou_139_NB
5168,rou_14_NB,rou_14_NB,NB,rou,43.661337,3.667204,1994,NA,deciduous,NA,NA,ROU rou_14_NB
5170,rou_140_NB,rou_140_NB,NB,rou,43.6622,3.661744,1994,NA,deciduous,NA,NA,ROU rou_140_NB
5171,rou_141_NB,rou_141_NB,NB,rou,43.661845,3.661754,1994,NA,deciduous,NA,NA,ROU rou_141_NB
5173,rou_142_NB,rou_142_NB,NB,rou,43.661255,3.661639,1993,NA,deciduous,NA,NA,ROU rou_142_NB
5174,rou_15_NB,rou_15_NB,NB,rou,43.660901,3.667299,1992,NA,deciduous,NA,NA,ROU rou_15_NB
5176,rou_150_NB,rou_150_NB,NB,rou,43.668755,3.669743,1993,NA,deciduous,NA,NA,ROU rou_150_NB
5178,rou_151_NB,rou_151_NB,NB,rou,43.668476,3.670089,1993,NA,deciduous,NA,NA,ROU rou_151_NB
5179,rou_152_NB,rou_152_NB,NB,rou,43.66827,3.670408,1993,NA,deciduous,NA,NA,ROU rou_152_NB
5181,rou_153_NB,rou_153_NB,NB,rou,43.66783,3.670775,1993,NA,deciduous,NA,NA,ROU rou_153_NB
5183,rou_154_NB,rou_154_NB,NB,rou,43.669333,3.671257,1993,NA,deciduous,NA,NA,ROU rou_154_NB
5185,rou_155_NB,rou_155_NB,NB,rou,43.668489,3.671018,1994,NA,deciduous,NA,NA,ROU rou_155_NB
